stage,candidate_id,config_key,cv_seed,fold,n_train,n_validation,best_n_estimators,mse,rmse,max_depth,learning_rate,min_child_weight,gamma,subsample,colsample_bytree,reg_lambda,reg_alpha,mdi_GrLivArea,mdi_LotArea,mdi_OverallQual,mdi_OverallCond,mdi_YearBuilt,mdi_YearRemodAdd,mdi_TotalBsmtSF,mdi_GarageArea,mdi_BedroomAbvGr,mdi_Fireplaces,mdi_WoodDeckSF,mdi_OpenPorchSF
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",19618,1,240,60,744,1723.249726653023,41.512043151994135,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.1893821056754186,0.012988076570583802,0.41110773343636825,0.0006467877463040796,0.15828204293348533,0.006590810763579249,0.09942011864035612,0.11357067756235469,0.0007027064176494997,0.0004849650981272435,0.0038200939088361727,0.0030038812469369894
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",19618,2,240,60,298,1043.9162812495877,32.30969330169489,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.19500157873704607,0.002163945036559159,0.3769978483568063,0.0,0.19072822487927452,0.003685468130585438,0.12710953945587833,0.10289258321220125,0.0,0.0,0.00011230979692399671,0.0013085023947249795
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",19618,3,240,60,221,1132.7304802978795,33.65606156842894,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.21419965368114574,0.00130357434051331,0.39743396250210594,0.0016445376858073549,0.1950075798971214,0.0011137477037474267,0.09850408796077967,0.0879667461768737,0.00033602295248798,0.0,0.0004983895967288976,0.0019916975026885897
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",19618,4,240,60,157,1682.7045848034961,41.0207823524064,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.24215418646102824,0.01020557558414439,0.36889653894206853,0.0,0.13708738114928884,0.006375369262309686,0.11344119848364545,0.1218397501175149,0.0,0.0,0.0,0.0
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",19618,5,240,60,816,1382.3338956760092,37.17975115134593,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.22644591065517553,0.010472631247618491,0.369706194884117,0.0032419783577955063,0.14402345558778645,0.002418721630129558,0.10679861862848856,0.1302613645384376,0.0003303925216695436,0.0019489696943217852,0.0025062438879947593,0.0018455183664652162
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",31415,1,240,60,528,1189.5843776641325,34.49035195042423,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.21703634116931836,0.007960753900143017,0.3343524662624036,0.0011426463275501658,0.18671638243353245,0.007281343505702723,0.09814620793475994,0.14357520820323247,7.333477590685424e-05,0.00012581125110655228,0.0012214864924192527,0.002368017743924586
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",31415,2,240,60,1060,1540.7328869415835,39.252170474275474,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.1982275285874933,0.01606443174742871,0.3379886570339828,0.0015701986228197889,0.2087394498324232,0.003350850155913103,0.11990305934100212,0.10268312065548603,0.0009858728522952431,0.002819247278202718,0.0035621331687958643,0.004105450724157158
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",31415,3,240,60,931,1112.7188430631174,33.357440595212296,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.21176363619546637,0.014108954412713322,0.42142340154897157,0.0008397933560530691,0.14636920856978172,0.0019109517944188457,0.11369705069905331,0.08375581168218926,0.000617527906925078,0.0011189179454211648,0.0017064051354975921,0.0026883407535086877
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",31415,4,240,60,403,1389.2200396867422,37.27224221437103,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.2485290931265862,0.002642835566328839,0.327604187134276,0.0,0.20931823590606544,0.0035590534481389573,0.1012252590500352,0.10521492452605505,0.0,0.0007105978573967891,0.0010653897982587973,0.00013042358685867275
repeated,22,"{""colsample_bytree"":0.85,""gamma"":0.1,""learning_rate"":0.05,""max_depth"":1,""min_child_weight"":1,""reg_alpha"":1.0,""reg_lambda"":1.0,""subsample"":0.85}",31415,5,240,60,420,1300.4072073292782,36.061159262137956,1,0.05,1,0.1,0.85,0.85,1.0,1.0,0.18855957771658352,0.0065796531423172,0.40637456084301443,7.576442851763947e-05,0.12392981887818495,0.010547987202463523,0.10538702842053191,0.14896607517948696,8.480374760929853e-05,0.001708497339936794,0.0009928743649133852,0.006793358736440367
