tree_number,tree_seed,bootstrap_size,unique_inbag_rows,duplicate_draws,oob_rows,tree_depth,node_count,leaf_count,candidate_nodes,min_candidate_features,max_candidate_features
1323,2074371790,300,192,108,108,8,213,107,112,4,4
1324,1094915930,300,196,104,104,8,195,98,102,4,4
1325,1054043935,300,195,105,105,8,157,79,82,4,4
1326,1913684680,300,193,107,107,8,203,102,108,4,4
1327,1583493184,300,186,114,114,8,173,87,90,4,4
1328,501917111,300,181,119,119,8,191,96,101,4,4
1329,1571038551,300,188,112,112,8,179,90,92,4,4
1330,1658314090,300,196,104,104,8,191,96,99,4,4
1331,1173221845,300,188,112,112,8,159,80,85,4,4
1332,1302798045,300,193,107,107,8,167,84,88,4,4
1333,342690826,300,185,115,115,8,207,104,109,4,4
1334,736012178,300,199,101,101,8,191,96,99,4,4
1335,1947814433,300,192,108,108,8,175,88,91,4,4
1336,1092847499,300,196,104,104,8,225,113,117,4,4
1337,68758224,300,195,105,105,8,151,76,81,4,4
1338,269303700,300,187,113,113,8,215,108,111,4,4
1339,1655608289,300,188,112,112,8,197,99,103,4,4
1340,763470362,300,192,108,108,8,193,97,99,4,4
1341,1498749447,300,189,111,111,8,197,99,109,4,4
1342,1903838294,300,194,106,106,8,183,92,97,4,4
1343,977025438,300,197,103,103,8,211,106,110,4,4
1344,267989585,300,194,106,106,8,177,89,97,4,4
1345,1553113732,300,188,112,112,8,173,87,92,4,4
1346,108807555,300,194,106,106,8,205,103,107,4,4
1347,1602491056,300,186,114,114,8,213,107,109,4,4
1348,1148247967,300,193,107,107,8,209,105,108,4,4
1349,200996408,300,193,107,107,8,155,78,81,4,4
1350,238798048,300,189,111,111,8,195,98,105,4,4
1351,915503870,300,195,105,105,8,179,90,94,4,4
1352,1964986674,300,192,108,108,8,185,93,101,4,4
1353,938244984,300,183,117,117,8,191,96,97,4,4
1354,1370881580,300,185,115,115,8,221,111,114,4,4
1355,1604563715,300,186,114,114,8,167,84,89,4,4
1356,556358218,300,190,110,110,8,197,99,101,4,4
1357,474562496,300,186,114,114,8,215,108,113,4,4
1358,216972556,300,186,114,114,8,195,98,103,4,4
1359,1910238195,300,190,110,110,8,191,96,102,4,4
1360,52501154,300,190,110,110,8,215,108,111,4,4
1361,509675775,300,193,107,107,8,173,87,89,4,4
1362,1994458777,300,192,108,108,8,193,97,101,4,4
1363,1157984178,300,191,109,109,8,199,100,105,4,4
1364,1600691680,300,181,119,119,8,185,93,97,4,4
1365,1078390113,300,186,114,114,8,207,104,105,4,4
1366,1455622951,300,192,108,108,8,199,100,102,4,4
1367,1239152576,300,181,119,119,8,181,91,94,4,4
1368,949736621,300,192,108,108,8,237,119,123,4,4
1369,1398943191,300,187,113,113,8,157,79,83,4,4
1370,1261219432,300,189,111,111,8,205,103,108,4,4
1371,1182980712,300,181,119,119,8,199,100,105,4,4
1372,503556416,300,189,111,111,8,223,112,117,4,4
1373,1469936284,300,185,115,115,8,191,96,100,4,4
1374,2035203795,300,187,113,113,8,235,118,119,4,4
1375,1537490165,300,187,113,113,8,181,91,97,4,4
1376,1883448232,300,183,117,117,8,225,113,117,4,4
1377,272526079,300,194,106,106,8,199,100,108,4,4
1378,1643156272,300,185,115,115,8,189,95,97,4,4
1379,266374006,300,177,123,123,8,169,85,88,4,4
1380,1589584113,300,190,110,110,8,185,93,98,4,4
1381,1682917646,300,190,110,110,8,193,97,105,4,4
1382,1708786803,300,182,118,118,8,183,92,99,4,4
1383,1423999801,300,179,121,121,8,189,95,99,4,4
1384,165096045,300,192,108,108,8,183,92,95,4,4
1385,70278011,300,196,104,104,8,221,111,115,4,4
1386,333673886,300,192,108,108,8,233,117,121,4,4
1387,175859089,300,191,109,109,8,197,99,104,4,4
1388,674436304,300,189,111,111,8,195,98,102,4,4
1389,654053231,300,186,114,114,8,199,100,103,4,4
1390,2027957786,300,198,102,102,8,183,92,95,4,4
1391,1362817647,300,195,105,105,8,205,103,107,4,4
1392,1381996715,300,180,120,120,8,189,95,100,4,4
1393,696861331,300,193,107,107,8,199,100,103,4,4
1394,1257186414,300,193,107,107,8,201,101,103,4,4
1395,583889408,300,180,120,120,8,179,90,92,4,4
1396,2141211513,300,185,115,115,8,161,81,87,4,4
1397,819484811,300,175,125,125,8,179,90,92,4,4
1398,1716899253,300,195,105,105,8,209,105,109,4,4
1399,337993690,300,192,108,108,8,199,100,104,4,4
1400,1380936811,300,189,111,111,8,193,97,100,4,4
1401,1952649413,300,186,114,114,8,181,91,95,4,4
1402,1377238777,300,180,120,120,8,179,90,96,4,4
1403,1041418796,300,186,114,114,8,183,92,95,4,4
1404,1300727900,300,193,107,107,8,187,94,97,4,4
1405,2142163121,300,180,120,120,8,215,108,113,4,4
1406,1255710840,300,188,112,112,8,205,103,107,4,4
1407,1485329740,300,193,107,107,8,225,113,115,4,4
1408,348157919,300,191,109,109,8,203,102,107,4,4
1409,562627832,300,179,121,121,8,197,99,101,4,4
1410,109831731,300,187,113,113,8,243,122,126,4,4
1411,470544435,300,189,111,111,8,209,105,109,4,4
1412,1044755402,300,190,110,110,8,217,109,116,4,4
1413,108091578,300,180,120,120,8,215,108,112,4,4
1414,271613211,300,190,110,110,8,191,96,101,4,4
1415,588929378,300,186,114,114,8,189,95,101,4,4
1416,1223377719,300,187,113,113,8,205,103,106,4,4
1417,1000236732,300,190,110,110,8,177,89,92,4,4
1418,1500515048,300,180,120,120,8,191,96,101,4,4
1419,878855722,300,184,116,116,8,173,87,91,4,4
1420,1748196986,300,190,110,110,8,177,89,92,4,4
1421,2114053740,300,185,115,115,8,189,95,97,4,4
1422,2045884037,300,187,113,113,8,173,87,90,4,4
1423,15454084,300,195,105,105,8,193,97,103,4,4
1424,1259537781,300,184,116,116,8,215,108,112,4,4
1425,393269586,300,187,113,113,8,213,107,109,4,4
1426,230077357,300,179,121,121,8,189,95,99,4,4
1427,85682484,300,192,108,108,8,197,99,103,4,4
1428,2118741782,300,183,117,117,8,183,92,98,4,4
1429,1336505065,300,190,110,110,8,175,88,93,4,4
1430,1865091387,300,199,101,101,8,227,114,119,4,4
1431,1386379319,300,186,114,114,8,207,104,109,4,4
1432,224494683,300,184,116,116,8,189,95,99,4,4
1433,187199327,300,184,116,116,8,219,110,113,4,4
1434,630825100,300,186,114,114,8,199,100,101,4,4
1435,493663699,300,187,113,113,8,221,111,113,4,4
1436,686355441,300,193,107,107,8,203,102,105,4,4
1437,804434461,300,185,115,115,8,185,93,98,4,4
1438,391731338,300,196,104,104,8,171,86,87,4,4
1439,2003657962,300,195,105,105,8,203,102,104,4,4
1440,1523118376,300,197,103,103,8,199,100,103,4,4
1441,1737496099,300,191,109,109,8,217,109,111,4,4
1442,1868271593,300,190,110,110,8,197,99,104,4,4
1443,2080567808,300,180,120,120,8,187,94,99,4,4
1444,562653346,300,192,108,108,8,179,90,92,4,4
1445,1295128059,300,189,111,111,8,179,90,94,4,4
1446,606001389,300,195,105,105,8,213,107,111,4,4
1447,1714943362,300,190,110,110,8,189,95,102,4,4
1448,280435468,300,200,100,100,8,205,103,112,4,4
1449,1047885492,300,189,111,111,8,197,99,104,4,4
1450,1267108172,300,195,105,105,8,193,97,101,4,4
1451,327992867,300,193,107,107,8,201,101,107,4,4
1452,619425828,300,192,108,108,8,191,96,101,4,4
1453,212418821,300,193,107,107,8,185,93,96,4,4
1454,1399607228,300,190,110,110,8,199,100,105,4,4
1455,273121027,300,199,101,101,8,199,100,104,4,4
1456,270013051,300,189,111,111,8,221,111,117,4,4
1457,672001689,300,183,117,117,8,185,93,95,4,4
1458,339493383,300,179,121,121,8,193,97,104,4,4
1459,2021820948,300,183,117,117,8,179,90,95,4,4
1460,1430125024,300,201,99,99,8,195,98,103,4,4
1461,221277280,300,194,106,106,8,185,93,96,4,4
1462,475530889,300,189,111,111,8,183,92,96,4,4
1463,815847980,300,190,110,110,8,183,92,95,4,4
1464,450759464,300,190,110,110,8,217,109,114,4,4
1465,862015946,300,194,106,106,8,189,95,96,4,4
1466,302886663,300,200,100,100,8,235,118,119,4,4
1467,458361546,300,190,110,110,8,175,88,93,4,4
1468,1820922755,300,187,113,113,8,181,91,93,4,4
1469,1669913135,300,190,110,110,8,207,104,109,4,4
1470,2122780917,300,185,115,115,8,167,84,89,4,4
1471,1203890622,300,193,107,107,8,155,78,81,4,4
1472,988067053,300,189,111,111,8,169,85,89,4,4
1473,475601982,300,189,111,111,8,157,79,82,4,4
1474,1745462364,300,192,108,108,8,165,83,85,4,4
1475,2111487988,300,194,106,106,8,219,110,116,4,4
