model,optional_terms,n_optional_terms,fold,log_loss,auc,accuracy,f1
main + x1_sq + x1_x2 + x1_x3,"x1_sq, x1_x2, x1_x3",3,14,0.5308582820671623,0.870967741935484,0.8,0.8
main + x1_sq + x1_x2 + x2_x3,"x1_sq, x1_x2, x2_x3",3,14,0.4546150731498486,0.8943270300333704,0.85,0.8363636363636363
main + x1_sq + x1_x3 + x2_x3,"x1_sq, x1_x3, x2_x3",3,14,0.43056727969587094,0.917686318131257,0.8666666666666667,0.8571428571428571
main + x2_sq + x3_sq + x1_x2,"x2_sq, x3_sq, x1_x2",3,14,0.5589843944889303,0.8487208008898777,0.7666666666666667,0.7407407407407407
main + x2_sq + x3_sq + x1_x3,"x2_sq, x3_sq, x1_x3",3,14,0.5341291140459783,0.8765294771968855,0.7666666666666667,0.7407407407407407
main + x2_sq + x3_sq + x2_x3,"x2_sq, x3_sq, x2_x3",3,14,0.4352476846634518,0.8954393770856508,0.8333333333333334,0.8275862068965517
main + x2_sq + x1_x2 + x1_x3,"x2_sq, x1_x2, x1_x3",3,14,0.5507738151128939,0.8620689655172414,0.7833333333333333,0.7547169811320755
main + x2_sq + x1_x2 + x2_x3,"x2_sq, x1_x2, x2_x3",3,14,0.4621649409030958,0.8776418242491657,0.8333333333333334,0.8214285714285714
main + x2_sq + x1_x3 + x2_x3,"x2_sq, x1_x3, x2_x3",3,14,0.44189233938229006,0.8943270300333703,0.85,0.8363636363636363
main + x3_sq + x1_x2 + x1_x3,"x3_sq, x1_x2, x1_x3",3,14,0.5285818760813654,0.8765294771968853,0.8,0.7857142857142857
main + x3_sq + x1_x2 + x2_x3,"x3_sq, x1_x2, x2_x3",3,14,0.44472486299952885,0.8932146829810901,0.8333333333333334,0.8275862068965517
main + x3_sq + x1_x3 + x2_x3,"x3_sq, x1_x3, x2_x3",3,14,0.42138442582453534,0.9098998887652947,0.8666666666666667,0.8571428571428571
main + x1_x2 + x1_x3 + x2_x3,"x1_x2, x1_x3, x2_x3",3,14,0.4510787402666992,0.8943270300333704,0.8666666666666667,0.8571428571428571
main + x1_sq + x2_sq + x3_sq + x1_x2,"x1_sq, x2_sq, x3_sq, x1_x2",4,14,0.5535406460483473,0.8442714126807565,0.8166666666666667,0.8135593220338984
main + x1_sq + x2_sq + x3_sq + x1_x3,"x1_sq, x2_sq, x3_sq, x1_x3",4,14,0.5291635539312943,0.8565072302558399,0.8166666666666667,0.8135593220338984
main + x1_sq + x2_sq + x3_sq + x2_x3,"x1_sq, x2_sq, x3_sq, x2_x3",4,14,0.4287001456355025,0.9087875417130145,0.8666666666666667,0.8620689655172413
main + x1_sq + x2_sq + x1_x2 + x1_x3,"x1_sq, x2_sq, x1_x2, x1_x3",4,14,0.546778586462521,0.8565072302558399,0.7833333333333333,0.7796610169491526
main + x1_sq + x2_sq + x1_x2 + x2_x3,"x1_sq, x2_sq, x1_x2, x2_x3",4,14,0.45954422083562846,0.8854282536151279,0.8333333333333334,0.8148148148148148
main + x1_sq + x2_sq + x1_x3 + x2_x3,"x1_sq, x2_sq, x1_x3, x2_x3",4,14,0.43599873610439543,0.9010011123470523,0.85,0.8363636363636363
main + x1_sq + x3_sq + x1_x2 + x1_x3,"x1_sq, x3_sq, x1_x2, x1_x3",4,14,0.5232591330953918,0.8743047830923248,0.8166666666666667,0.819672131147541
main + x1_sq + x3_sq + x1_x2 + x2_x3,"x1_sq, x3_sq, x1_x2, x2_x3",4,14,0.44111132502499334,0.9021134593993325,0.8166666666666667,0.8070175438596491
main + x1_sq + x3_sq + x1_x3 + x2_x3,"x1_sq, x3_sq, x1_x3, x2_x3",4,14,0.4153307379325908,0.9221357063403782,0.85,0.8421052631578947
main + x1_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x1_x2, x1_x3, x2_x3",4,14,0.4489799062439852,0.8976640711902114,0.85,0.8301886792452831
main + x2_sq + x3_sq + x1_x2 + x1_x3,"x2_sq, x3_sq, x1_x2, x1_x3",4,14,0.5430203446812525,0.8631813125695217,0.8,0.7692307692307693
main + x2_sq + x3_sq + x1_x2 + x2_x3,"x2_sq, x3_sq, x1_x2, x2_x3",4,14,0.4503416963843426,0.8876529477196886,0.8333333333333334,0.8275862068965517
main + x2_sq + x3_sq + x1_x3 + x2_x3,"x2_sq, x3_sq, x1_x3, x2_x3",4,14,0.4271507502171064,0.9043381535038932,0.8333333333333334,0.8214285714285714
main + x2_sq + x1_x2 + x1_x3 + x2_x3,"x2_sq, x1_x2, x1_x3, x2_x3",4,14,0.4556698321877684,0.8865406006674081,0.85,0.8363636363636363
main + x3_sq + x1_x2 + x1_x3 + x2_x3,"x3_sq, x1_x2, x1_x3, x2_x3",4,14,0.4350750369407072,0.9065628476084538,0.85,0.8421052631578947
main + x1_sq + x2_sq + x3_sq + x1_x2 + x1_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x1_x3",5,14,0.5396787338689316,0.8542825361512791,0.7833333333333333,0.7796610169491526
main + x1_sq + x2_sq + x3_sq + x1_x2 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x2, x2_x3",5,14,0.4469219645914508,0.8943270300333704,0.8333333333333334,0.8275862068965517
main + x1_sq + x2_sq + x3_sq + x1_x3 + x2_x3,"x1_sq, x2_sq, x3_sq, x1_x3, x2_x3",5,14,0.4219273267050875,0.9110122358175751,0.8333333333333334,0.8275862068965517
main + x1_sq + x2_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x2_sq, x1_x2, x1_x3, x2_x3",5,14,0.4538786424650411,0.8943270300333704,0.85,0.8301886792452831
main + x1_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x1_sq, x3_sq, x1_x2, x1_x3, x2_x3",5,14,0.4337956537725327,0.9076751946607342,0.8333333333333334,0.8214285714285714
main + x2_sq + x3_sq + x1_x2 + x1_x3 + x2_x3,"x2_sq, x3_sq, x1_x2, x1_x3, x2_x3",5,14,0.44046641582294926,0.8998887652947719,0.8333333333333334,0.8214285714285714
