model,optional_terms,n_optional_terms,cv_log_loss_mean,cv_log_loss_sd,cv_auc_mean,cv_auc_sd,cv_accuracy_mean,cv_f1_mean,full_data_aic,full_data_bic_deviance,full_data_deviance
main + x3_sq + x1_x2 + x2_x3,"x3_sq, x1_x2, x2_x3",3,0.5377205149719939,0.041630160483024134,0.8065509296043223,0.04114701772882492,0.7166666666666667,0.6959216222374118,328.34376933539954,-1356.8644957388674,314.34376933539954
main + x3_sq + x2_x3,"x3_sq, x2_x3",2,0.5377843177597204,0.04449355457862263,0.8029809907834101,0.038832382613589955,0.7166666666666666,0.6935020656271897,327.3119490220998,-1361.6000985268233,315.3119490220998
main + x2_sq + x1_x3 + x2_x3,"x2_sq, x1_x3, x2_x3",3,0.5382102403929978,0.039231421434570105,0.8000866538217066,0.03929998243007449,0.7233333333333334,0.7046501048860396,330.4918436888667,-1354.7164213854,316.4918436888667
main + x2_sq + x1_x2 + x2_x3,"x2_sq, x1_x2, x2_x3",3,0.53833239347657,0.03582352841558412,0.8047667050691245,0.03751631222153522,0.7266666666666668,0.7050649350649352,330.5435197385143,-1354.6647453357525,316.5435197385143
main + x2_sq + x3_sq + x1_x3 + x2_x3,"x2_sq, x3_sq, x1_x3, x2_x3",4,0.5386125654259867,0.04639838254110239,0.8054370928015256,0.0409583338001407,0.7133333333333333,0.6911012379433432,329.6696389194158,-1351.8348436801948,313.6696389194158
main + x2_sq + x2_x3,"x2_sq, x2_x3",2,0.5392157335575919,0.039161279887322355,0.7974080823931352,0.036236748743337974,0.7200000000000001,0.6977433009981036,329.56841860520024,-1359.3436289437227,317.56841860520024
main + x2_sq + x3_sq + x1_x2 + x2_x3,"x2_sq, x3_sq, x1_x2, x2_x3",4,0.5398613251038286,0.042412278684807306,0.8049921539806133,0.04156624587453664,0.7166666666666667,0.6955456823877877,330.21859422273025,-1351.2858883768804,314.21859422273025
main + x2_sq + x3_sq + x2_x3,"x2_sq, x3_sq, x2_x3",3,0.5405660936084782,0.046033940607615446,0.8005308477673605,0.0400725860944016,0.7166666666666666,0.6935020656271897,329.12766624625124,-1356.0805988280156,315.1276662462512
main + x1_sq,x1_sq,1,0.6279176911337968,0.021372236235058243,0.6919759554266646,0.03300130242222799,0.62,0.6235336048687958,381.4496009035155,-1311.1662291200637,371.44960090351555
main + x1_sq + x3_sq,"x1_sq, x3_sq",2,0.6286984087288393,0.02750005594923257,0.7058003436357858,0.03644738708918189,0.62,0.6322185230024212,382.34773601130445,-1306.5643115376186,370.34773601130445
main + x1_sq + x1_x3,"x1_sq, x1_x3",2,0.6288538448911518,0.02261228184217083,0.7024580883521374,0.03724990776376108,0.6166666666666667,0.6213358627879444,381.48380637146784,-1307.4282411774552,369.48380637146784
main + x3_sq + x1_x3,"x3_sq, x1_x3",2,0.6290959846975364,0.017330339821595837,0.716943925790561,0.04244564765502633,0.6433333333333333,0.6085596025218667,384.5062420550619,-1304.4058054938612,372.5062420550619
main + x1_sq + x3_sq + x1_x3,"x1_sq, x3_sq, x1_x3",3,0.6298380166322786,0.03199990303206931,0.7136046500079454,0.03952479881166757,0.6333333333333333,0.6423671514193053,381.92185740759794,-1303.2864076666688,367.92185740759794
main + x1_sq + x1_x2,"x1_sq, x1_x2",2,0.6299711395127392,0.02457223146978861,0.6901835372636264,0.0298621317911437,0.6266666666666667,0.6310523112120563,382.9016797660951,-1306.0103677828279,370.9016797660951
main + x1_sq + x1_x2 + x1_x3,"x1_sq, x1_x2, x1_x3",3,0.6305394095221609,0.024224454129759092,0.7044550989194344,0.03212520926944103,0.6466666666666667,0.6499115451060644,382.5832935111359,-1302.6249715631309,368.5832935111359
main + x1_x3,x1_x3,1,0.6306191490515097,0.017752657721748038,0.7098070276497697,0.03692638682426671,0.61,0.5756138386083609,384.1711913374423,-1308.444638686137,374.1711913374423
main + x1_sq + x3_sq + x1_x2,"x1_sq, x3_sq, x1_x2",3,0.6309721441568061,0.029033273209869058,0.7011076295089783,0.0287953632177174,0.6233333333333333,0.632512369841761,383.89538264918053,-1301.3128824250862,369.89538264918053
main + x3_sq,x3_sq,1,0.6316983339746914,0.017556217316938665,0.7098077725250278,0.03248544942803712,0.6300000000000001,0.5970910036452877,385.31740573712705,-1307.2984242864522,375.31740573712705
main + x1_sq + x3_sq + x1_x2 + x1_x3,"x1_sq, x3_sq, x1_x2, x1_x3",4,0.6317484749253349,0.03157347231500212,0.7118159562211982,0.03422156971306963,0.6533333333333333,0.6596081385216298,383.14285808740874,-1298.3616245122018,367.14285808740874
main_effects_only,none,0,0.6319340946470434,0.01617477180627106,0.7028933437946925,0.031626275766192855,0.6066666666666667,0.5766927169707705,384.41767259592234,-1311.9019399023132,376.41767259592234
main + x3_sq + x1_x2 + x1_x3,"x3_sq, x1_x2, x1_x3",3,0.6320169196695135,0.01989086855402517,0.7140421400762753,0.03858042882476164,0.65,0.6159616344522005,385.9352250025968,-1299.27304007167,371.93522500259684
main + x1_sq + x2_sq,"x1_sq, x2_sq",2,0.6330811643531921,0.02460599431406369,0.6910838431590657,0.03302698756192564,0.6333333333333333,0.6401438919708862,383.2475636096205,-1305.6644839393025,371.24756360962044
