cv_seed,fold,model,log_loss,brier_score,roc_auc,mean_probability,observed_prevalence,inner_selected_log_loss,selected_parameters
2026,3,domain_log_l2,0.35031444353572305,0.10414856354443852,0.8061002178649237,0.1599437092274257,0.15,0.38634664834893934,"{""logistic__C"": 0.03162277660168379}"
2026,3,raw_l1,0.3597559263441353,0.10359116710948053,0.7603485838779956,0.17523508349994107,0.15,0.39299979901340937,"{""logistic__C"": 0.31622776601683794}"
2026,3,ordinal_onehot_l2,0.3875715435642594,0.11363525810654279,0.7167755991285403,0.16260973733380235,0.15,0.3998344391177652,"{""logistic__C"": 0.1}"
2026,3,quadratic_l2,0.350417668494368,0.10322225331080147,0.7886710239651415,0.15963625295704245,0.15,0.37649530319496866,"{""logistic__C"": 0.01}"
2026,3,spline_degree2_l2,0.35290045269516584,0.10383474416118835,0.8039215686274509,0.15519291290171275,0.15,0.3785606112915417,"{""logistic__C"": 0.03162277660168379}"
2026,3,spline_degree3_l2,0.36323943081338383,0.10716680295562458,0.7559912854030502,0.144109036956201,0.15,0.37701686053149663,"{""logistic__C"": 0.03162277660168379}"
2026,4,raw_l2,0.38671184373842976,0.11643424887444585,0.6950000000000001,0.17663524832582253,0.16666666666666666,0.372934243959748,"{""logistic__C"": 0.1}"
2026,4,domain_log_l2,0.39340616337979323,0.11966132608140909,0.6809999999999999,0.18358757437972056,0.16666666666666666,0.36925422368502353,"{""logistic__C"": 0.1}"
2026,4,raw_l1,0.41936058524811887,0.12473731283430832,0.655,0.18766793099791398,0.16666666666666666,0.38547007470684524,"{""logistic__C"": 1.0}"
2026,4,ordinal_onehot_l2,0.4670398590979659,0.14026569317610918,0.691,0.17792422609928019,0.16666666666666666,0.37201600447813493,"{""logistic__C"": 1.0}"
2026,4,quadratic_l2,0.3901772430468852,0.11767026731047373,0.7050000000000001,0.17452040668746432,0.16666666666666666,0.3728264635999748,"{""logistic__C"": 0.01}"
2026,4,spline_degree2_l2,0.3763739679645479,0.11316421434852696,0.711,0.1795425489725194,0.16666666666666666,0.36880506064508406,"{""logistic__C"": 0.03162277660168379}"
2026,4,spline_degree3_l2,0.4086137499582381,0.12380714335221928,0.707,0.1896698260369681,0.16666666666666666,0.3690223920898584,"{""logistic__C"": 0.1}"
2026,5,raw_l2,0.35248044482490265,0.10580704866593439,0.758,0.18249371126981792,0.16666666666666666,0.3629527147371717,"{""logistic__C"": 0.31622776601683794}"
2026,5,domain_log_l2,0.35441580886416096,0.1046918693684575,0.738,0.16251445927170982,0.16666666666666666,0.3692078358435536,"{""logistic__C"": 0.31622776601683794}"
2026,5,raw_l1,0.3647489982493358,0.11033173000956088,0.742,0.185821328573184,0.16666666666666666,0.3697762444637814,"{""logistic__C"": 1.0}"
2026,5,ordinal_onehot_l2,0.39244967121079105,0.12098612585289546,0.774,0.17287660226451776,0.16666666666666666,0.39070772752864785,"{""logistic__C"": 0.1}"
2026,5,quadratic_l2,0.3457174480475722,0.10550390026294797,0.794,0.18746284851544068,0.16666666666666666,0.3633335671666621,"{""logistic__C"": 0.1}"
2026,5,spline_degree2_l2,0.33877505606176067,0.10011627342930073,0.816,0.17832309437628677,0.16666666666666666,0.37620387203027955,"{""logistic__C"": 0.03162277660168379}"
2026,5,spline_degree3_l2,0.33198195117700435,0.09732077213928644,0.816,0.17699321827087022,0.16666666666666666,0.3833877618037966,"{""logistic__C"": 0.03162277660168379}"
9618,1,raw_l2,0.4423383923947796,0.13234166015362844,0.5272331154684096,0.11647972693813533,0.15,0.35711805746440217,"{""logistic__C"": 0.1}"
9618,1,domain_log_l2,0.432331878141539,0.12911872928394896,0.579520697167756,0.1243539247697481,0.15,0.3580414217533085,"{""logistic__C"": 0.1}"
9618,1,raw_l1,0.44677264827916136,0.13429419890374195,0.4684095860566449,0.1339003050854472,0.15,0.36318933037204404,"{""logistic__C"": 0.31622776601683794}"
9618,1,ordinal_onehot_l2,0.4602998888717132,0.13972648048517017,0.4989106753812636,0.1265697385527331,0.15,0.3856627603851319,"{""logistic__C"": 0.1}"
9618,1,quadratic_l2,0.45140114468483833,0.1346073691789065,0.5119825708061002,0.12286332857618909,0.15,0.35708452743462976,"{""logistic__C"": 0.01}"
9618,1,spline_degree2_l2,0.4599669718636331,0.13866773054454298,0.5119825708061001,0.11678502022241825,0.15,0.35204005607325556,"{""logistic__C"": 0.03162277660168379}"
9618,1,spline_degree3_l2,0.4828077244838367,0.14180840879218462,0.40305010893246185,0.11358194966799642,0.15,0.3499911312302016,"{""logistic__C"": 0.03162277660168379}"
9618,2,raw_l2,0.38565042187517107,0.1211438606722238,0.7069716775599129,0.1625683533242985,0.15,0.3623999693308872,"{""logistic__C"": 0.1}"
9618,2,domain_log_l2,0.37777616102760386,0.11833490251790474,0.7570806100217865,0.15895839444963977,0.15,0.3727821991537993,"{""logistic__C"": 0.1}"
9618,2,raw_l1,0.39005858740003935,0.12150177354599355,0.7004357298474945,0.17582351714074712,0.15,0.37606912968488293,"{""logistic__C"": 0.31622776601683794}"
9618,2,ordinal_onehot_l2,0.3779087406657301,0.11859087313260308,0.724400871459695,0.16322506910545148,0.15,0.3846319515484524,"{""logistic__C"": 0.31622776601683794}"
9618,2,quadratic_l2,0.3849708814441538,0.12219319458785952,0.6895424836601307,0.16935865907651276,0.15,0.3572132642250117,"{""logistic__C"": 0.03162277660168379}"
9618,2,spline_degree2_l2,0.3720860825416714,0.11598115547125738,0.7527233115468409,0.1564234273364847,0.15,0.36819465705477106,"{""logistic__C"": 0.03162277660168379}"
9618,2,spline_degree3_l2,0.3815513664385328,0.11865680711602282,0.6917211328976035,0.15899667284480132,0.15,0.366648575792209,"{""logistic__C"": 0.03162277660168379}"
9618,3,raw_l2,0.3021982203486868,0.08608411048689736,0.8202614379084967,0.17881987112047154,0.15,0.3794296219182179,"{""logistic__C"": 0.31622776601683794}"
9618,3,domain_log_l2,0.306939359825305,0.08729493835741073,0.8202614379084967,0.18602305986310883,0.15,0.38256730458723076,"{""logistic__C"": 0.31622776601683794}"
9618,3,raw_l1,0.30369292511175916,0.0854680482955445,0.80718954248366,0.186642831779845,0.15,0.38678773271075556,"{""logistic__C"": 1.0}"
9618,3,ordinal_onehot_l2,0.3370584205767727,0.10055904268522523,0.8442265795206972,0.16185313187526928,0.15,0.41328307121015806,"{""logistic__C"": 0.1}"
9618,3,quadratic_l2,0.2863340682370069,0.08135768475332641,0.8246187363834423,0.1870817593406668,0.15,0.37717656461726057,"{""logistic__C"": 0.1}"
9618,3,spline_degree2_l2,0.3035672854500873,0.08515015610808682,0.8355119825708062,0.18329339565250094,0.15,0.38454835494690437,"{""logistic__C"": 0.03162277660168379}"
