seed,max_depth,fold_1_mse,fold_2_mse,fold_3_mse,fold_4_mse,fold_5_mse,mean_cv_mse,sd_cv_mse,oof_rmse,selected
19618,3,3626.2257616430124,3550.3700691466456,2572.4624406921052,3919.0637409408105,2808.5421861917216,3295.332839722859,575.1263134006583,57.40498967618459,False
19618,4,3239.12295732985,2833.9309151245684,1704.5687031269313,3606.503630993533,2443.7624183327716,2765.577724981531,735.7613167894447,52.588760443478144,False
19618,5,2615.605778566959,2886.032520253487,1700.1350707115248,3335.083776589816,2387.8335488229295,2584.938138988943,607.4626526082964,50.84228691737758,True
19618,6,2498.857342246628,2898.669029607799,1556.918459842311,3445.5892720231736,2599.630829396397,2599.9329866232615,689.650900216129,50.989538011471154,False
19618,7,2514.799874445584,2738.0913200498703,1669.8772276872473,3512.044014058822,2689.040907089047,2624.770668666114,657.2939377149506,51.232515736259856,False
19618,8,2508.601408377105,2645.287061733024,1682.7856587339568,3511.6334812481055,2599.5911122734597,2589.5797444731297,648.5020491545589,50.8879135401829,False
19618,9,2508.601408377105,2645.287061733024,1682.7856587339568,3511.6334812481055,2599.5911122734597,2589.5797444731297,648.5020491545589,50.8879135401829,False
19618,10,2508.601408377105,2645.287061733024,1682.7856587339568,3511.6334812481055,2599.5911122734597,2589.5797444731297,648.5020491545589,50.8879135401829,False
31415,2,3197.6854801711183,3281.170025271984,3318.907226951474,5904.346901059279,4135.880812708661,3967.5980892325038,1147.1773819384016,62.98887274140174,False
31415,3,2858.4940698305286,2711.826174946334,3325.1726423236,4841.589048064097,3278.0034761889933,3403.0170822707105,846.3787037650033,58.33538447863964,False
31415,4,2604.7594322132004,2483.591342416018,2550.9289091782216,4222.870600081998,2734.290073384015,2919.2880714546905,734.5066448412239,54.03043652844839,False
31415,5,2748.1143887127523,2310.854931828348,2396.7085662940153,3880.968301638615,2228.5618891650174,2713.04161552775,682.2433904751178,52.08686605592382,False
31415,6,2942.9336868931236,2330.4509102699367,2172.2205213918887,3837.1666803023486,2243.569054040357,2705.2681705795308,702.7576010084946,52.012192518481,False
31415,7,2870.8092089606384,2180.0726640297275,2185.4059280356746,3775.424273508069,2389.7166202904887,2680.2857389649193,673.6425541021824,51.771476113444166,True
31415,8,2862.3680011766387,2187.5029028687454,2329.904624019841,3782.548858408926,2389.7166202904887,2710.4082013529282,650.6983523464166,52.06158085722069,False
31415,9,2860.460892923805,2192.4032436349726,2329.904624019841,3782.548858408926,2389.7166202904887,2711.006847855607,649.6065743240175,52.06732994744023,False
31415,10,2860.460892923805,2192.4032436349726,2329.904624019841,3782.548858408926,2389.7166202904887,2711.006847855607,649.6065743240175,52.06732994744023,False
