base_id,complete_id,structure_id,mean_log_loss,std_log_loss,mean_brier_score,mean_roc_auc,mean_probability,observed_prevalence,absolute_prevalence_bias,mean_best_n_estimators,median_best_n_estimators,mdi_rank_stability,mdi_top5_overlap,max_depth,learning_rate,min_child_weight,gamma,subsample,colsample_bytree,reg_lambda,reg_alpha,imbalance_strategy,scale_pos_weight,max_delta_step,sampling_ratio,k_neighbors,calibration,calibration_folds
s58|imb=scale_pos_weight|w=2.0|delta=0.0|r=None|k=None,s58|imb=scale_pos_weight|w=2.0|delta=0.0|r=None|k=None|cal=none|folds=None,58,0.3994677002039088,0.054895893295405764,0.1234502524137497,0.7579694989106753,0.22567896842956542,0.15666666666666665,0.06901230176289877,289.0,296,0.7862055126944569,0.8,3,0.01,1,0.5,1.0,0.85,1.0,1.0,scale_pos_weight,2.0,0.0,,,none,
s41|imb=smote|w=1.0|delta=0.0|r=0.2|k=3,s41|imb=smote|w=1.0|delta=0.0|r=0.2|k=3|cal=none|folds=None,41,0.3995075075837204,0.06476735194324325,0.12206856310367584,0.7202862745098038,0.15839623361825944,0.15666666666666665,0.0017295669515927704,48.2,47,0.4833291917717489,0.5599999999999999,2,0.1,1,0.0,1.0,1.0,1.0,0.0,smote,1.0,0.0,0.2,3.0,none,
s51|imb=scale_pos_weight|w=1.5|delta=1.0|r=None|k=None,s51|imb=scale_pos_weight|w=1.5|delta=1.0|r=None|k=None|cal=none|folds=None,51,0.3996265860507347,0.07600160900816649,0.12112164944410324,0.7457834422657952,0.18833684623241426,0.15666666666666665,0.03167017956574759,235.2,125,0.8132867132867135,0.76,3,0.03,1,0.5,1.0,0.85,5.0,0.1,scale_pos_weight,1.5,1.0,,,none,
s43|imb=smote|w=1.0|delta=0.0|r=0.3|k=2,s43|imb=smote|w=1.0|delta=0.0|r=0.3|k=2|cal=none|folds=None,43,0.3997871730325424,0.0675477547536224,0.12331541478633881,0.7398082788671024,0.19497850835323333,0.15666666666666665,0.03831184168656668,89.0,44,0.4570145752371463,0.5599999999999999,4,0.1,3,0.5,0.85,0.7,5.0,1.0,smote,1.0,0.0,0.3,2.0,none,
s43|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None,s43|imb=scale_pos_weight|w=1.5|delta=0.0|r=None|k=None|cal=none|folds=None,43,0.40020581730382665,0.05377235908985263,0.12441417872905731,0.757473202614379,0.1895427644252777,0.15666666666666665,0.03287609775861105,120.0,72,0.6164675817926997,0.78,4,0.1,3,0.5,0.85,0.7,5.0,1.0,scale_pos_weight,1.5,0.0,,,none,
s28|imb=scale_pos_weight|w=2.32|delta=0.0|r=None|k=None,s28|imb=scale_pos_weight|w=2.32|delta=0.0|r=None|k=None|cal=none|folds=None,28,0.4008974099662466,0.0671956533236387,0.12491185814142228,0.7566945533769063,0.2164598971605301,0.15666666666666665,0.059793230493863425,181.6,129,0.825874125874126,0.9200000000000002,3,0.03,3,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,2.32,0.0,,,none,
s41|imb=smote|w=1.0|delta=0.0|r=0.3|k=3,s41|imb=smote|w=1.0|delta=0.0|r=0.3|k=3|cal=none|folds=None,41,0.4016166896373363,0.08529375410371477,0.12225177735090256,0.7107568627450981,0.18890289068222046,0.15666666666666665,0.0322362240155538,57.8,57,0.33583740562626013,0.5,2,0.1,1,0.0,1.0,1.0,1.0,0.0,smote,1.0,0.0,0.3,3.0,none,
s55|imb=smote|w=1.0|delta=0.0|r=0.3|k=2,s55|imb=smote|w=1.0|delta=0.0|r=0.3|k=2|cal=none|folds=None,55,0.4016170661120603,0.061964325130274174,0.12317508310079575,0.7576871459694988,0.19923982620239258,0.15666666666666665,0.04257315953572592,178.6,93,0.3538189809097019,0.52,4,0.03,3,1.0,1.0,0.7,5.0,0.0,smote,1.0,0.0,0.3,2.0,none,
s28|imb=scale_pos_weight|w=2.32|delta=1.0|r=None|k=None,s28|imb=scale_pos_weight|w=2.32|delta=1.0|r=None|k=None|cal=none|folds=None,28,0.40201034963139487,0.06850482029140373,0.12521862834692002,0.7431799564270152,0.22285485863685608,0.15666666666666665,0.06618819197018941,148.0,129,0.7818181818181819,0.8400000000000001,3,0.03,3,0.1,0.85,0.85,1.0,0.1,scale_pos_weight,2.32,1.0,,,none,
s43|imb=random_over|w=1.0|delta=0.0|r=0.2|k=None,s43|imb=random_over|w=1.0|delta=0.0|r=0.2|k=None|cal=none|folds=None,43,0.4028380669591061,0.0346430760717991,0.12378834486007691,0.7469193899782134,0.15723083019256592,0.15666666666666665,0.0005641635258992583,111.6,39,0.5374367966194195,0.7,4,0.1,3,0.5,0.85,0.7,5.0,1.0,random_over,1.0,0.0,0.2,,none,
