stage,complete_id,structure_id,cv_seed,fold,n_train,n_validation,positive_train,positive_validation,log_loss,brier_score,roc_auc,mean_probability,observed_prevalence,prevalence_bias,max_depth,min_samples_leaf,max_features,criterion,max_samples,strategy,sampling_ratio,k_neighbors,calibration,calibration_folds,mdi_GrLivArea,mdi_LotArea,mdi_OverallQual,mdi_OverallCond,mdi_YearBuilt,mdi_YearRemodAdd,mdi_TotalBsmtSF,mdi_GarageArea,mdi_BedroomAbvGr,mdi_Fireplaces,mdi_WoodDeckSF,mdi_OpenPorchSF
calibration_screen,s70|random_over|r=0.2|k=None|cal=sigmoid|folds=5,70,9618,3,240,60,38,9,0.2943118833805991,0.08573198582743494,0.8856209150326797,0.17761656949863963,0.15,0.027616569498639637,5,1,6,log_loss,1.0,random_over,0.2,,sigmoid,5,0.14961311122909232,0.17683360898352735,0.1450176060433376,0.06053363207752253,0.060740205961562786,0.05622590039815679,0.10363778191019214,0.08534882271066666,0.04622056180488327,0.022049323798369047,0.04235979294828827,0.051419652134401084
calibration_screen,s70|random_over|r=0.2|k=None|cal=sigmoid|folds=5,70,9618,4,240,60,37,10,0.36223124343737045,0.10682534664051392,0.77,0.15509942980279598,0.16666666666666666,-0.011567236863870678,5,1,6,log_loss,1.0,random_over,0.2,,sigmoid,5,0.1486457336120828,0.16035662578739174,0.14235174322874788,0.05754611459351063,0.10575354146977291,0.04164522094474685,0.09018520781854633,0.07572387840304433,0.05365127401655573,0.013112488176737496,0.055050184667331775,0.05597798728153155
calibration_screen,s70|random_over|r=0.2|k=None|cal=sigmoid|folds=5,70,9618,5,240,60,37,10,0.3644425490715398,0.11076280353370108,0.8320000000000001,0.1662486721041814,0.16666666666666666,-0.0004179945624852577,5,1,6,log_loss,1.0,random_over,0.2,,sigmoid,5,0.14403255901821618,0.16466913092694732,0.10896635150950154,0.0724279640541186,0.09809632680636604,0.04601119619838266,0.09097615658423894,0.09521117014842222,0.038540295910531076,0.03691175692761532,0.043687443908434154,0.06046964800722601
calibration_screen,s70|random_over|r=0.2|k=None|cal=sigmoid|folds=8,70,9618,1,240,60,38,9,0.44228109765096685,0.13586114450157732,0.6209150326797386,0.12054860602783277,0.15,-0.029451393972167228,5,1,6,log_loss,1.0,random_over,0.2,,sigmoid,8,0.17924119563059274,0.14396760792514599,0.14219700458232867,0.08540924967511047,0.09003891450576605,0.03865192753187339,0.09544051931845986,0.10342404523891063,0.015645101846714374,0.03341340079797163,0.021295613503921444,0.05127541944320472
calibration_screen,s70|random_over|r=0.2|k=None|cal=sigmoid|folds=8,70,9618,2,240,60,38,9,0.37891253717155654,0.11768018814239975,0.8246187363834422,0.13658407475519826,0.15,-0.01341592524480173,5,1,6,log_loss,1.0,random_over,0.2,,sigmoid,8,0.14574360757099977,0.18673185091984376,0.1218845039589638,0.10279197352459753,0.0614196310874963,0.03168344196198263,0.08194645175548355,0.08547747198124558,0.06886165366214432,0.01333853168158695,0.043090274056278466,0.05703060783937718
calibration_screen,s70|random_over|r=0.2|k=None|cal=sigmoid|folds=8,70,9618,3,240,60,38,9,0.29980651903127875,0.08675924551799345,0.8856209150326797,0.178019013314748,0.15,0.028019013314748015,5,1,6,log_loss,1.0,random_over,0.2,,sigmoid,8,0.14961311122909232,0.17683360898352735,0.1450176060433376,0.06053363207752253,0.060740205961562786,0.05622590039815679,0.10363778191019214,0.08534882271066666,0.04622056180488327,0.022049323798369047,0.04235979294828827,0.051419652134401084
calibration_screen,s70|random_over|r=0.2|k=None|cal=sigmoid|folds=8,70,9618,4,240,60,37,10,0.3582612523163492,0.10560540675859884,0.77,0.15418098620770515,0.16666666666666666,-0.012485680458961507,5,1,6,log_loss,1.0,random_over,0.2,,sigmoid,8,0.1486457336120828,0.16035662578739174,0.14235174322874788,0.05754611459351063,0.10575354146977291,0.04164522094474685,0.09018520781854633,0.07572387840304433,0.05365127401655573,0.013112488176737496,0.055050184667331775,0.05597798728153155
calibration_screen,s70|random_over|r=0.2|k=None|cal=sigmoid|folds=8,70,9618,5,240,60,37,10,0.3570406580563113,0.108807815380166,0.8320000000000001,0.166047208269047,0.16666666666666666,-0.0006194583976196488,5,1,6,log_loss,1.0,random_over,0.2,,sigmoid,8,0.14403255901821618,0.16466913092694732,0.10896635150950154,0.0724279640541186,0.09809632680636604,0.04601119619838266,0.09097615658423894,0.09521117014842222,0.038540295910531076,0.03691175692761532,0.043687443908434154,0.06046964800722601
calibration_screen,s69|smote|r=0.2|k=4|cal=sigmoid|folds=3,69,9618,1,240,60,38,9,0.4347666751096381,0.13323559212072478,0.6427015250544662,0.11780477408712017,0.15,-0.03219522591287982,8,2,4,log_loss,1.0,smote,0.2,4.0,sigmoid,3,0.145740980676928,0.14242508100541837,0.1123286029078466,0.08694513697015317,0.08458044534286953,0.057220737151015534,0.09476756368363824,0.11694543687705351,0.02723250168577762,0.042341495103345464,0.029165152657975195,0.06030686593797886
calibration_screen,s69|smote|r=0.2|k=4|cal=sigmoid|folds=3,69,9618,2,240,60,38,9,0.37418243710883997,0.11551844809753194,0.8202614379084967,0.14656047014336215,0.15,-0.0034395298566378407,8,2,4,log_loss,1.0,smote,0.2,4.0,sigmoid,3,0.12667074744627976,0.17061811789924028,0.10080268808658528,0.08456012338217447,0.07725293212584917,0.05037078685279768,0.09583784637427581,0.09380566306076146,0.05063592753222579,0.022233558902644474,0.05573986258707631,0.0714717457500895
