model,fold,log_loss,auc,accuracy,f1
with_intercept,19,0.4664614133462435,0.8565072302558399,0.75,0.7540983606557377
no_intercept,19,0.4665300254087773,0.8565072302558399,0.75,0.7540983606557377
with_intercept,20,0.6905794397390929,0.71412680756396,0.65,0.6181818181818182
no_intercept,20,0.690070286066582,0.7152391546162402,0.65,0.6181818181818182
with_intercept,21,0.5077387342252229,0.828125,0.7333333333333333,0.6923076923076923
no_intercept,21,0.5076367541082122,0.828125,0.7333333333333333,0.6923076923076923
with_intercept,22,0.5809841793885842,0.8024553571428571,0.7333333333333333,0.7333333333333333
no_intercept,22,0.5810031792964001,0.7991071428571428,0.7333333333333333,0.7333333333333333
with_intercept,23,0.5446660841776183,0.7756696428571429,0.65,0.631578947368421
no_intercept,23,0.5449311993074115,0.7745535714285715,0.65,0.631578947368421
with_intercept,24,0.5816721601212953,0.7641824249165741,0.7,0.6896551724137931
no_intercept,24,0.5650366934953749,0.7730812013348165,0.7,0.6896551724137931
with_intercept,25,0.4926395706782833,0.8164627363737487,0.7,0.7
no_intercept,25,0.4913021443127918,0.8164627363737487,0.7333333333333333,0.7419354838709677
with_intercept,26,0.4946862106216498,0.8482142857142858,0.7833333333333333,0.7547169811320755
no_intercept,26,0.4947796071667608,0.8470982142857143,0.7833333333333333,0.7547169811320755
with_intercept,27,0.5364243190952623,0.7957589285714286,0.7166666666666667,0.7017543859649122
no_intercept,27,0.536617865461069,0.7957589285714285,0.7166666666666667,0.7017543859649122
with_intercept,28,0.5747952701438692,0.8102678571428572,0.7333333333333333,0.7419354838709677
no_intercept,28,0.5635136148621315,0.8091517857142858,0.7,0.6896551724137931
with_intercept,29,0.5748023746748105,0.7886540600667408,0.7,0.6538461538461539
no_intercept,29,0.5661038284577375,0.7908787541713015,0.7,0.6538461538461539
with_intercept,30,0.5252665983407256,0.8231368186874305,0.7166666666666667,0.7384615384615385
no_intercept,30,0.5221602536279976,0.8242491657397107,0.7,0.71875
with_intercept,31,0.6247821601368634,0.7645089285714285,0.7,0.7
no_intercept,31,0.6064434078445721,0.7700892857142856,0.6833333333333333,0.6666666666666666
with_intercept,32,0.5876102000358859,0.7455357142857143,0.7333333333333333,0.7142857142857143
no_intercept,32,0.5794962466673222,0.7566964285714286,0.7,0.6896551724137931
with_intercept,33,0.43857514962711297,0.8783482142857143,0.7333333333333333,0.6923076923076923
no_intercept,33,0.43880814124845485,0.8783482142857143,0.7333333333333333,0.6923076923076923
with_intercept,34,0.5206749857649141,0.8153503893214683,0.7166666666666667,0.7213114754098361
no_intercept,34,0.52044083691255,0.8120133481646273,0.7166666666666667,0.7213114754098361
with_intercept,35,0.5541753085123221,0.8042269187986653,0.7,0.6896551724137931
no_intercept,35,0.5543352520900545,0.8042269187986653,0.7,0.6896551724137931
with_intercept,36,0.5029051261637536,0.828125,0.7833333333333333,0.7936507936507936
no_intercept,36,0.5031446392466715,0.828125,0.7666666666666667,0.7741935483870968
with_intercept,37,0.49107962011617,0.8493303571428572,0.75,0.7457627118644068
no_intercept,37,0.4912964716697697,0.8493303571428572,0.75,0.7457627118644068
with_intercept,38,0.5660168551597108,0.7823660714285714,0.6666666666666666,0.5833333333333334
no_intercept,38,0.5637342613761346,0.7823660714285714,0.6666666666666666,0.6
with_intercept,39,0.5714777356674177,0.7764182424916575,0.6333333333333333,0.6451612903225806
no_intercept,39,0.5635499239309116,0.7853170189098999,0.6666666666666666,0.6666666666666666
with_intercept,40,0.5934084486723895,0.7908787541713015,0.7,0.6896551724137931
no_intercept,40,0.5907714673484347,0.7919911012235816,0.6833333333333333,0.6666666666666666
with_intercept,41,0.5403394887929044,0.8147321428571428,0.7,0.6896551724137931
no_intercept,41,0.540238460381768,0.8147321428571429,0.7,0.6666666666666666
with_intercept,42,0.5886382421063119,0.7767857142857142,0.6166666666666667,0.5818181818181818
no_intercept,42,0.5869510420338061,0.7767857142857142,0.6166666666666667,0.5818181818181818
with_intercept,43,0.43114896273937703,0.890625,0.8,0.7857142857142857
no_intercept,43,0.4305353227006112,0.8895089285714286,0.8,0.7857142857142857
with_intercept,44,0.5627059538879066,0.7953281423804226,0.7,0.7096774193548387
no_intercept,44,0.5629546453389124,0.793103448275862,0.7166666666666667,0.7213114754098361
with_intercept,45,0.5681948096392113,0.7786429365962181,0.7333333333333333,0.7241379310344828
no_intercept,45,0.5661840104032916,0.7808676307007787,0.7333333333333333,0.7333333333333333
with_intercept,46,0.6033619168492168,0.7399553571428571,0.6333333333333333,0.6071428571428571
no_intercept,46,0.6028850564040186,0.7410714285714285,0.6333333333333333,0.6071428571428571
with_intercept,47,0.5383338015208154,0.7946428571428571,0.6833333333333333,0.6545454545454545
no_intercept,47,0.5355682283106916,0.7979910714285714,0.6833333333333333,0.6545454545454545
with_intercept,48,0.5221469978366053,0.8125,0.7666666666666667,0.7586206896551724
no_intercept,48,0.5139120120879478,0.8203125,0.7666666666666667,0.75
with_intercept,49,0.5459136712499945,0.8197997775305896,0.7666666666666667,0.7407407407407407
no_intercept,49,0.5446901059876409,0.8186874304783093,0.7833333333333333,0.7636363636363637
with_intercept,50,0.5253760063198607,0.8097886540600667,0.7166666666666667,0.7213114754098361
no_intercept,50,0.5245566742901304,0.8086763070077865,0.7166666666666667,0.7213114754098361
