model,family,fold,degree,penalty,C,log_loss,auc,accuracy,f1
ridge_poly6_C0.1,sklearn_regularized,10,6,l2,0.1,0.544939605402213,0.7919911012235817,0.7166666666666667,0.6909090909090909
ridge_poly6_C0.3,sklearn_regularized,10,6,l2,0.3,0.5313525503273973,0.8131256952169076,0.7333333333333333,0.7241379310344828
ridge_poly6_C1,sklearn_regularized,10,6,l2,1,0.5490479548505013,0.8053392658509455,0.7166666666666667,0.7213114754098361
ridge_poly6_C3,sklearn_regularized,10,6,l2,3,0.685474016209478,0.7486095661846496,0.6666666666666666,0.6774193548387096
ridge_poly6_C10,sklearn_regularized,10,6,l2,10,0.8900029953750457,0.7274749721913237,0.7,0.7096774193548387
ridge_poly6_C30,sklearn_regularized,10,6,l2,30,1.0152726132643823,0.7385984427141268,0.7,0.7096774193548387
ridge_poly6_C100,sklearn_regularized,10,6,l2,100,1.2289047022733728,0.728587319243604,0.7,0.7096774193548387
lasso_poly2_C0.01,sklearn_regularized,10,2,l1,0.01,0.6931471805599454,0.5,0.48333333333333334,0.651685393258427
lasso_poly2_C0.03,sklearn_regularized,10,2,l1,0.03,0.6390988997006859,0.8264738598442715,0.75,0.7368421052631579
lasso_poly2_C0.1,sklearn_regularized,10,2,l1,0.1,0.5330203756400026,0.8220244716351502,0.75,0.7368421052631579
lasso_poly2_C0.3,sklearn_regularized,10,2,l1,0.3,0.531242545380039,0.8031145717463849,0.7333333333333333,0.7241379310344828
lasso_poly2_C1,sklearn_regularized,10,2,l1,1,0.5352712422656888,0.8031145717463849,0.7166666666666667,0.7017543859649122
lasso_poly2_C3,sklearn_regularized,10,2,l1,3,0.5386800159968591,0.8020022246941045,0.7166666666666667,0.7017543859649122
lasso_poly2_C10,sklearn_regularized,10,2,l1,10,0.5402182402101746,0.8020022246941046,0.7166666666666667,0.7017543859649122
lasso_poly2_C30,sklearn_regularized,10,2,l1,30,0.5406933164065476,0.8020022246941046,0.7166666666666667,0.7017543859649122
lasso_poly2_C100,sklearn_regularized,10,2,l1,100,0.5408634237720283,0.8020022246941046,0.7166666666666667,0.7017543859649122
lasso_poly3_C0.01,sklearn_regularized,10,3,l1,0.01,0.6931471805599454,0.5,0.48333333333333334,0.651685393258427
lasso_poly3_C0.03,sklearn_regularized,10,3,l1,0.03,0.6390985590551791,0.8264738598442715,0.75,0.7368421052631579
lasso_poly3_C0.1,sklearn_regularized,10,3,l1,0.1,0.5331053147705492,0.8231368186874305,0.75,0.7368421052631579
lasso_poly3_C0.3,sklearn_regularized,10,3,l1,0.3,0.5334524923588777,0.8031145717463849,0.7166666666666667,0.7017543859649122
lasso_poly3_C1,sklearn_regularized,10,3,l1,1,0.5390101023329072,0.8020022246941046,0.7333333333333333,0.7241379310344828
lasso_poly3_C3,sklearn_regularized,10,3,l1,3,0.5327611373973723,0.8008898776418243,0.75,0.7368421052631579
lasso_poly3_C10,sklearn_regularized,10,3,l1,10,0.5314238119625557,0.8020022246941045,0.7333333333333333,0.7142857142857143
lasso_poly3_C30,sklearn_regularized,10,3,l1,30,0.5310751310630045,0.8020022246941045,0.7333333333333333,0.7142857142857143
lasso_poly3_C100,sklearn_regularized,10,3,l1,100,0.5310479132971896,0.8020022246941046,0.7333333333333333,0.7142857142857143
lasso_poly4_C0.01,sklearn_regularized,10,4,l1,0.01,0.6931471805599454,0.5,0.48333333333333334,0.651685393258427
lasso_poly4_C0.03,sklearn_regularized,10,4,l1,0.03,0.6390988997001031,0.8264738598442715,0.75,0.7368421052631579
lasso_poly4_C0.1,sklearn_regularized,10,4,l1,0.1,0.5331492083767277,0.8242491657397109,0.75,0.7368421052631579
lasso_poly4_C0.3,sklearn_regularized,10,4,l1,0.3,0.5355370259889886,0.8020022246941046,0.7166666666666667,0.7017543859649122
lasso_poly4_C1,sklearn_regularized,10,4,l1,1,0.573744017573734,0.7997775305895439,0.75,0.7368421052631579
lasso_poly4_C3,sklearn_regularized,10,4,l1,3,0.6719009773918293,0.7641824249165741,0.7166666666666667,0.711864406779661
lasso_poly4_C10,sklearn_regularized,10,4,l1,10,0.8569354026367088,0.7330367074527253,0.6833333333333333,0.6984126984126984
lasso_poly4_C30,sklearn_regularized,10,4,l1,30,0.9914289498389142,0.725250278086763,0.6833333333333333,0.6984126984126984
lasso_poly4_C100,sklearn_regularized,10,4,l1,100,1.0425729484670818,0.7241379310344828,0.6833333333333333,0.6984126984126984
lasso_poly5_C0.01,sklearn_regularized,10,5,l1,0.01,0.6931471805599454,0.5,0.48333333333333334,0.651685393258427
