model,terms,fold,log_loss,auc,accuracy,f1
interaction_only_no_x2_x3_mains,x1 + x2_x3,11,0.4822866382788108,0.8537946428571428,0.75,0.7272727272727273
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,12,0.558887497138609,0.7566964285714286,0.6666666666666666,0.6774193548387096
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,12,0.5697889514932731,0.7555803571428572,0.6833333333333333,0.6984126984126984
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,12,0.5776023709501048,0.7511160714285714,0.6833333333333333,0.6984126984126984
interaction_only_no_x2_x3_mains,x1 + x2_x3,12,0.5882079255412758,0.7544642857142857,0.6833333333333333,0.6984126984126984
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,13,0.5171679104738829,0.8247767857142858,0.7666666666666667,0.7407407407407407
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,13,0.521211536227559,0.8258928571428571,0.7833333333333333,0.7547169811320755
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,13,0.5267876741435568,0.8225446428571429,0.7666666666666667,0.7307692307692307
interaction_only_no_x2_x3_mains,x1 + x2_x3,13,0.532015778982174,0.8191964285714286,0.7833333333333333,0.7450980392156863
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,14,0.43537241867586923,0.9110122358175751,0.8666666666666667,0.8571428571428571
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,14,0.4470287707210776,0.9010011123470523,0.8333333333333334,0.8275862068965517
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,14,0.44161296814549533,0.8987764182424917,0.8333333333333334,0.8275862068965517
interaction_only_no_x2_x3_mains,x1 + x2_x3,14,0.4538565289140712,0.8876529477196886,0.85,0.8421052631578947
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,15,0.6762420609239818,0.6829810901001112,0.5833333333333334,0.5283018867924528
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,15,0.680351435375128,0.6763070077864294,0.6,0.5555555555555556
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,15,0.6937826228801004,0.6451612903225805,0.5333333333333333,0.46153846153846156
interaction_only_no_x2_x3_mains,x1 + x2_x3,15,0.6998890393570824,0.6373748609566184,0.5666666666666667,0.5185185185185185
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,16,0.5057776151866372,0.828125,0.7166666666666667,0.7213114754098361
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,16,0.49949132813748087,0.8359375,0.7166666666666667,0.711864406779661
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,16,0.524698028040351,0.8113839285714286,0.7,0.7
interaction_only_no_x2_x3_mains,x1 + x2_x3,16,0.5193150896611309,0.8247767857142858,0.7166666666666667,0.711864406779661
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,17,0.534061902868528,0.7845982142857143,0.6833333333333333,0.6666666666666666
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,17,0.540054972428693,0.7834821428571429,0.7166666666666667,0.6909090909090909
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,17,0.5338993414301857,0.7801339285714286,0.6666666666666666,0.6296296296296297
interaction_only_no_x2_x3_mains,x1 + x2_x3,17,0.5372475754656452,0.7857142857142857,0.6833333333333333,0.6545454545454545
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,18,0.504416596683345,0.8448660714285715,0.8,0.7857142857142857
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,18,0.5041566171501904,0.8537946428571429,0.8,0.7857142857142857
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,18,0.5094024941063799,0.8381696428571428,0.75,0.7272727272727273
interaction_only_no_x2_x3_mains,x1 + x2_x3,18,0.5132466708513047,0.8392857142857143,0.7833333333333333,0.7636363636363637
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,19,0.4664614133462435,0.8565072302558399,0.75,0.7540983606557377
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,19,0.47486883827206045,0.8542825361512792,0.8,0.7931034482758621
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,19,0.4841939417848476,0.8453837597330367,0.7333333333333333,0.7333333333333333
interaction_only_no_x2_x3_mains,x1 + x2_x3,19,0.4923730667859659,0.8420467185761957,0.75,0.7368421052631579
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,20,0.6905794397390929,0.71412680756396,0.65,0.6181818181818182
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,20,0.6985329258937505,0.6974416017797553,0.6333333333333333,0.6071428571428571
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,20,0.66217767664062,0.7063403781979978,0.6666666666666666,0.6296296296296297
interaction_only_no_x2_x3_mains,x1 + x2_x3,20,0.6695397031200637,0.6963292547274751,0.65,0.6181818181818182
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,21,0.5077387342252229,0.828125,0.7333333333333333,0.6923076923076923
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,21,0.5013570409278885,0.8292410714285714,0.7166666666666667,0.6792452830188679
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,21,0.5175138477231712,0.8147321428571429,0.7,0.625
interaction_only_no_x2_x3_mains,x1 + x2_x3,21,0.5116782352272968,0.8191964285714286,0.7166666666666667,0.6666666666666666
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,22,0.5809841793885842,0.8024553571428571,0.7333333333333333,0.7333333333333333
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,22,0.5869426038324234,0.796875,0.75,0.7457627118644068
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,22,0.6063459507696504,0.7488839285714286,0.7166666666666667,0.7213114754098361
interaction_only_no_x2_x3_mains,x1 + x2_x3,22,0.6107840661140111,0.7499999999999999,0.7166666666666667,0.7213114754098361
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,23,0.5446660841776183,0.7756696428571429,0.65,0.631578947368421
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,23,0.5324150107437297,0.8058035714285714,0.7166666666666667,0.6909090909090909
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,23,0.5547569466286296,0.7511160714285714,0.6166666666666667,0.5660377358490566
interaction_only_no_x2_x3_mains,x1 + x2_x3,23,0.5435182888926385,0.7801339285714285,0.7,0.6666666666666666
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,24,0.5816721601212953,0.7641824249165741,0.7,0.6896551724137931
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,24,0.5864563104638933,0.7563959955506119,0.7,0.6896551724137931
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,24,0.5172914611804745,0.8042269187986651,0.7333333333333333,0.7142857142857143
interaction_only_no_x2_x3_mains,x1 + x2_x3,24,0.5189105329824316,0.8075639599555061,0.7333333333333333,0.7142857142857143
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,25,0.4926395706782833,0.8164627363737487,0.7,0.7
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,25,0.4984261020255939,0.8175750834260289,0.7333333333333333,0.7419354838709677
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,25,0.5149630981693066,0.8053392658509455,0.7166666666666667,0.711864406779661
interaction_only_no_x2_x3_mains,x1 + x2_x3,25,0.52089297599682,0.8053392658509455,0.7333333333333333,0.7333333333333333
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,26,0.4946862106216498,0.8482142857142858,0.7833333333333333,0.7547169811320755
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,26,0.494072581321709,0.8560267857142857,0.7666666666666667,0.7407407407407407
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,26,0.5043843571215447,0.8359375,0.75,0.7169811320754716
interaction_only_no_x2_x3_mains,x1 + x2_x3,26,0.5028903847729758,0.8404017857142857,0.75,0.7169811320754716
hierarchical_selected,x1 + x2 + x3 + x1_sq + x2_x3,27,0.5364243190952623,0.7957589285714286,0.7166666666666667,0.7017543859649122
omit_x2_x3_main_effects,x1 + x1_sq + x2_x3,27,0.5439249627062339,0.7879464285714285,0.7333333333333333,0.7142857142857143
interaction_only_plus_mains,x1 + x2 + x3 + x2_x3,27,0.5470631500434899,0.7857142857142857,0.6833333333333333,0.6545454545454545
