fold,log_loss,auc,accuracy,f1,model,n_optional_terms,optional_terms
3,0.6155170316065808,0.7109375,0.6666666666666666,0.6551724137931034,main + x1_sq + x3_sq + x1_x3,3,"x1_sq, x3_sq, x1_x3"
4,0.682667795756929,0.6729699666295884,0.65,0.6666666666666666,main + x1_sq + x3_sq + x1_x3,3,"x1_sq, x3_sq, x1_x3"
5,0.6258120293425763,0.6774193548387097,0.5833333333333334,0.576271186440678,main + x1_sq + x3_sq + x1_x3,3,"x1_sq, x3_sq, x1_x3"
1,0.4634487317513642,0.8627232142857143,0.75,0.7457627118644068,main + x1_sq + x3_sq + x2_x3,3,"x1_sq, x3_sq, x2_x3"
2,0.5297946762235216,0.8113839285714286,0.75,0.7457627118644068,main + x1_sq + x3_sq + x2_x3,3,"x1_sq, x3_sq, x2_x3"
3,0.5131917906959339,0.8236607142857143,0.75,0.7368421052631579,main + x1_sq + x3_sq + x2_x3,3,"x1_sq, x3_sq, x2_x3"
4,0.5796218541177063,0.7853170189098999,0.6666666666666666,0.6666666666666666,main + x1_sq + x3_sq + x2_x3,3,"x1_sq, x3_sq, x2_x3"
5,0.5651005222861214,0.7986651835372636,0.7166666666666667,0.711864406779661,main + x1_sq + x3_sq + x2_x3,3,"x1_sq, x3_sq, x2_x3"
1,0.6516516514633724,0.7198660714285714,0.65,0.6865671641791045,main + x1_sq + x1_x2 + x1_x3,3,"x1_sq, x1_x2, x1_x3"
2,0.596914019574794,0.7466517857142857,0.6833333333333333,0.6885245901639344,main + x1_sq + x1_x2 + x1_x3,3,"x1_sq, x1_x2, x1_x3"
3,0.6214417288133972,0.7087053571428572,0.65,0.6181818181818182,main + x1_sq + x1_x2 + x1_x3,3,"x1_sq, x1_x2, x1_x3"
4,0.6564216496312678,0.664071190211346,0.6166666666666667,0.6229508196721312,main + x1_sq + x1_x2 + x1_x3,3,"x1_sq, x1_x2, x1_x3"
5,0.6262679981279731,0.6829810901001112,0.6333333333333333,0.6333333333333333,main + x1_sq + x1_x2 + x1_x3,3,"x1_sq, x1_x2, x1_x3"
1,0.479018193022552,0.8504464285714286,0.7666666666666667,0.75,main + x1_sq + x1_x2 + x2_x3,3,"x1_sq, x1_x2, x2_x3"
2,0.517226894253262,0.8247767857142858,0.7666666666666667,0.7666666666666667,main + x1_sq + x1_x2 + x2_x3,3,"x1_sq, x1_x2, x2_x3"
3,0.534841854976726,0.8102678571428571,0.7333333333333333,0.7142857142857143,main + x1_sq + x1_x2 + x2_x3,3,"x1_sq, x1_x2, x2_x3"
4,0.5739190856696943,0.7842046718576196,0.65,0.6440677966101694,main + x1_sq + x1_x2 + x2_x3,3,"x1_sq, x1_x2, x2_x3"
5,0.5530500838332869,0.7986651835372637,0.7166666666666667,0.7017543859649122,main + x1_sq + x1_x2 + x2_x3,3,"x1_sq, x1_x2, x2_x3"
1,0.4761417952627083,0.8526785714285714,0.75,0.7368421052631579,main + x1_sq + x1_x3 + x2_x3,3,"x1_sq, x1_x3, x2_x3"
2,0.5171377336819387,0.8225446428571428,0.7833333333333333,0.7868852459016393,main + x1_sq + x1_x3 + x2_x3,3,"x1_sq, x1_x3, x2_x3"
3,0.529113423702002,0.8147321428571428,0.7166666666666667,0.7017543859649122,main + x1_sq + x1_x3 + x2_x3,3,"x1_sq, x1_x3, x2_x3"
4,0.5749802342172499,0.7753058954393771,0.6833333333333333,0.6666666666666666,main + x1_sq + x1_x3 + x2_x3,3,"x1_sq, x1_x3, x2_x3"
5,0.5527834277358882,0.7953281423804226,0.6833333333333333,0.6666666666666666,main + x1_sq + x1_x3 + x2_x3,3,"x1_sq, x1_x3, x2_x3"
1,0.6566965475189984,0.71875,0.6833333333333333,0.6885245901639344,main + x2_sq + x3_sq + x1_x2,3,"x2_sq, x3_sq, x1_x2"
2,0.603585778400826,0.7399553571428571,0.65,0.6037735849056604,main + x2_sq + x3_sq + x1_x2,3,"x2_sq, x3_sq, x1_x2"
3,0.6371905687067424,0.6953125,0.6666666666666666,0.6296296296296297,main + x2_sq + x3_sq + x1_x2,3,"x2_sq, x3_sq, x1_x2"
