source_row_index,actual_distressed,smote_k10_ratio07_probability
167,0,0.3449659568303637
168,0,0.46619297966194384
169,0,0.16091405861897665
170,0,0.21910755148741418
171,0,0.28781386006026116
172,1,0.21407202689611946
173,0,0.18225522552255227
174,1,0.23204481792717085
175,0,0.0
176,1,0.41078833447254504
177,0,0.42438604762288057
178,0,0.3872039072039072
179,1,0.32094023249474096
180,0,0.41732804588864997
181,0,0.2986055749606191
182,0,0.6493886039917857
183,0,0.2921960072595281
184,0,0.0
185,1,0.2
186,1,0.4864504919333282
187,0,0.15357023690357025
188,0,0.3685677625628405
189,0,0.0
190,1,0.37048366375099046
191,0,0.0
192,0,0.08205128205128205
193,0,0.5160903305409442
194,0,0.07272727272727272
195,0,0.16649243429429186
196,0,0.011794019933554816
197,0,0.4496116031321328
198,0,0.45392511649173645
199,0,0.5714828690535336
200,1,0.30174727509579213
201,0,0.5121428571428571
202,0,0.18477850399419027
203,0,0.37395658678067933
204,0,0.2983455991984051
205,1,0.0
206,0,0.18712434691745036
207,0,0.14736842105263157
208,0,0.10424118548799181
209,0,0.1541000530942127
210,1,0.5295779492083464
211,0,0.40314918876862615
212,0,0.49214611990640106
213,0,0.0
214,0,0.07846481876332623
215,0,0.17943722943722945
216,0,0.4181791044776119
217,0,0.5324365541747877
218,0,0.28067078552515445
219,0,0.743859649122807
220,1,0.7288596491228071
221,0,0.3288618517678909
222,1,0.05555555555555556
223,0,0.2037765930439198
224,0,0.6595489517414651
225,0,0.20229437229437233
226,0,0.004
227,1,0.5274703636728953
228,0,0.19876543209876543
229,0,0.20307692307692307
230,0,0.0
231,0,0.04444444444444444
232,0,0.0
233,0,0.008651162790697674
234,0,0.0
235,0,0.16735537190082644
236,0,0.0
237,0,0.04390243902439024
238,0,0.0
239,0,0.60485140645518
240,0,0.0
241,0,0.6454194014828827
242,1,0.19273141599874272
243,0,0.2968962743364366
244,1,0.6126890078823723
245,0,0.11892189218921892
246,0,0.0
247,0,0.26738988996068
248,0,0.3969662441247686
249,0,0.28252928599078747
250,1,0.5290284167232459
