fold,strategy,log_loss,brier_score,roc_auc,accuracy,balanced_accuracy,precision,recall,mean_predicted_probability,observed_prevalence
17,class_weight_balanced,2.2473788551959273,0.21394509435773282,0.667755991285403,0.4666666666666667,0.5947712418300654,0.1891891891891892,0.7777777777777778,0.3610787273168864,0.15
17,smote_ratio_0.5,2.7105173424619426,0.1705069397628513,0.6525054466230937,0.85,0.5915032679738562,0.5,0.2222222222222222,0.24704162366701066,0.15
17,smote_ratio_1.0,1.6201300943089652,0.19094409496127268,0.7145969498910676,0.65,0.6111111111111112,0.22727272727272727,0.5555555555555556,0.2987286913191713,0.15
18,none,2.1180178965293415,0.15259850819221843,0.5816993464052287,0.8,0.5620915032679739,0.2857142857142857,0.2222222222222222,0.2124253285543608,0.15
18,class_weight_balanced,1.1980000751859994,0.2392495755150307,0.6753812636165577,0.48333333333333334,0.6503267973856208,0.21052631578947367,0.8888888888888888,0.40719566339591023,0.15
18,smote_ratio_0.5,0.38700964068157817,0.13419195688967794,0.8224400871459695,0.85,0.6830065359477124,0.5,0.4444444444444444,0.2881368473385801,0.15
18,smote_ratio_1.0,0.49377831217499074,0.1819108943573383,0.8224400871459695,0.6333333333333333,0.738562091503268,0.27586206896551724,0.8888888888888888,0.3703026399677322,0.15
19,none,1.5072972843666899,0.130303421419583,0.6740000000000002,0.85,0.59,0.6666666666666666,0.2,0.16715488215488217,0.16666666666666666
19,class_weight_balanced,1.7304676571719553,0.2314875507064898,0.6040000000000001,0.4666666666666667,0.6000000000000001,0.21052631578947367,0.8,0.3668295377531466,0.16666666666666666
19,smote_ratio_0.5,2.1724214890355245,0.17519173302637345,0.6280000000000001,0.7,0.5800000000000001,0.25,0.4,0.26342409052935367,0.16666666666666666
19,smote_ratio_1.0,2.2076425268734394,0.20042438502002397,0.652,0.5166666666666667,0.63,0.22857142857142856,0.8,0.3417444284110951,0.16666666666666666
20,none,2.083962058203649,0.13814586191129402,0.601,0.85,0.59,0.6666666666666666,0.2,0.14506172839506173,0.16666666666666666
20,class_weight_balanced,2.288752106932388,0.23432470002224978,0.592,0.45,0.55,0.1891891891891892,0.7,0.3616396510735572,0.16666666666666666
20,smote_ratio_0.5,2.137306101923187,0.16137447646528844,0.605,0.8,0.56,0.3333333333333333,0.2,0.2152065527065527,0.16666666666666666
20,smote_ratio_1.0,2.2373365806645693,0.21057647513236905,0.5780000000000001,0.6333333333333333,0.54,0.2,0.4,0.2815919755478066,0.16666666666666666
21,none,0.3037457076929393,0.09350828547083419,0.7766884531590414,0.8833333333333333,0.6111111111111112,1.0,0.2222222222222222,0.14578917031159933,0.15
21,class_weight_balanced,2.3546198924756476,0.25806579786713185,0.579520697167756,0.4666666666666667,0.5490196078431373,0.17142857142857143,0.6666666666666666,0.3705445826823807,0.15
21,smote_ratio_0.5,0.9270455867284119,0.12336495422428916,0.6764705882352942,0.8666666666666667,0.5555555555555556,1.0,0.1111111111111111,0.19405792201938246,0.15
21,smote_ratio_1.0,0.5783032465957524,0.21806936878637473,0.7396514161220044,0.65,0.6111111111111112,0.22727272727272727,0.5555555555555556,0.3868831646251001,0.15
22,none,0.9453141794126139,0.12994191357699944,0.7494553376906318,0.8333333333333334,0.5816993464052287,0.4,0.2222222222222222,0.20661956381468582,0.15
22,class_weight_balanced,0.6930709946929063,0.2644773989462413,0.6459694989106753,0.45,0.5392156862745098,0.16666666666666666,0.6666666666666666,0.4322786885180469,0.15
22,smote_ratio_0.5,0.36518112327765806,0.12149758284245897,0.8485838779956427,0.8,0.7450980392156863,0.4,0.6666666666666666,0.2940568962627787,0.15
22,smote_ratio_1.0,0.652210224825964,0.24489399466625253,0.7494553376906319,0.6166666666666667,0.6830065359477124,0.25,0.7777777777777778,0.420965925750872,0.15
23,none,0.33381647057958813,0.11106583310036763,0.7745098039215687,0.8333333333333334,0.5816993464052287,0.4,0.2222222222222222,0.12299799799799803,0.15
23,class_weight_balanced,1.0659293728736425,0.1849715825229681,0.6753812636165577,0.8,0.5163398692810457,0.2,0.1111111111111111,0.31353604168790017,0.15
23,smote_ratio_0.5,0.32843014665278125,0.10063867833221316,0.8289760348583879,0.8833333333333333,0.7026143790849673,0.6666666666666666,0.4444444444444444,0.16985171261487053,0.15
23,smote_ratio_1.0,0.33822275446237116,0.10849764959262337,0.8453159041394336,0.8,0.7908496732026145,0.4117647058823529,0.7777777777777778,0.22280368638712772,0.15
24,none,2.7231019895618025,0.17443537414965984,0.578,0.7833333333333333,0.55,0.2857142857142857,0.2,0.16714285714285712,0.16666666666666666
24,class_weight_balanced,2.869694654473164,0.24947864556876595,0.569,0.5333333333333333,0.52,0.17857142857142858,0.5,0.33394085046381805,0.16666666666666666
24,smote_ratio_0.5,2.768303417242092,0.20102757438033916,0.527,0.5833333333333334,0.47,0.14285714285714285,0.3,0.24215355805243446,0.16666666666666666
24,smote_ratio_1.0,2.8849603145594207,0.2546030065804836,0.527,0.5833333333333334,0.47,0.14285714285714285,0.3,0.3064345977276112,0.16666666666666666
25,none,3.227997173160168,0.15414358187726063,0.589,0.8333333333333334,0.54,0.5,0.1,0.13969641101278268,0.16666666666666666
25,class_weight_balanced,2.2531076596600017,0.22083824473120658,0.653,0.5666666666666667,0.62,0.23333333333333334,0.7,0.31893004116651263,0.16666666666666666
25,smote_ratio_0.5,2.1635807770203144,0.17755403470641515,0.642,0.7833333333333333,0.55,0.2857142857142857,0.2,0.2544199771859346,0.16666666666666666
25,smote_ratio_1.0,2.2416541311386804,0.21067835435367904,0.609,0.6333333333333333,0.6599999999999999,0.2692307692307692,0.7,0.29113997113997114,0.16666666666666666
